"projection","year","population"
"Historique",1960,313050
"Historique",1961,314889
"Historique",1962,318800
"Historique",1963,322700
"Historique",1964,325500
"Historique",1965,330000
"Historique",1966,333000
"Historique",1967,334790
"Historique",1968,335200
"Historique",1969,336500
"Historique",1970,338507
"Historique",1971,339841
"Historique",1972,345000
"Historique",1973,348200
"Historique",1974,352700
"Historique",1975,357400
"Historique",1976,360500
"Historique",1977,360962
"Historique",1978,361753
"Historique",1979,362261
"Historique",1980,363450
"Historique",1981,364850
"Historique",1982,365600
"Historique",1983,365450
"Historique",1984,365794
"Historique",1985,366202
"Historique",1986,367210
"Historique",1987,369500
"Historique",1988,372000
"Historique",1989,374900
"Historique",1990,379300
"Historique",1991,384400
"Historique",1992,389600
"Historique",1993,394750
"Historique",1994,400200
"Historique",1995,405650
"Historique",1996,411600
"Historique",1997,416850
"Historique",1998,422050
"Historique",1999,427350
"Historique",2000,433600
"Historique",2001,439000
"Historique",2002,444050
"Historique",2003,448300
"Historique",2004,454960
"Historique",2005,461230
"Historique",2006,469086
"Historique",2007,476187
"Historique",2008,483799
"Historique",2009,493500
"Historique",2010,502066
"Historique",2011,511840
"Historique",2012,524853
"Historique",2013,537039
"Historique",2014,549680
"Historique",2015,562958
"Historique",2016,576249
"Historique",2017,590667
"Historique",2018,602005
"Historique",2019,613894
"Historique",2020,626108
"Historique",2021,634730
"Historique",2022,645397
"Historique",2023,660809
"Historique",2024,672050
"Historique",2025,
"Historique",2026,
"Historique",2027,
"Historique",2028,
"Historique",2029,
"Historique",2030,
"Historique",2031,
"Historique",2032,
"Historique",2033,
"Historique",2034,
"Historique",2035,
"Historique",2036,
"Historique",2037,
"Historique",2038,
"Historique",2039,
"Historique",2040,
"Historique",2041,
"Historique",2042,
"Historique",2043,
"Historique",2044,
"Historique",2045,
"Historique",2046,
"Historique",2047,
"Historique",2048,
"Historique",2049,
"Historique",2050,
"Historique",2051,
"Historique",2052,
"Historique",2053,
"Historique",2054,
"Historique",2055,
"Historique",2056,
"Historique",2057,
"Historique",2058,
"Historique",2059,
"Historique",2060,
"Historique",2061,
"Historique",2062,
"Historique",2063,
"Historique",2064,
"Historique",2065,
"Historique",2066,
"Historique",2067,
"Historique",2068,
"Historique",2069,
"Historique",2070,
"Historique",2071,
"Historique",2072,
"Historique",2073,
"Historique",2074,
"Historique",2075,
"Historique",2076,
"Historique",2077,
"Historique",2078,
"Historique",2079,
"Historique",2080,
"Historique",2081,
"Historique",2082,
"Historique",2083,
"Historique",2084,
"Historique",2085,
"Historique",2086,
"Historique",2087,
"Historique",2088,
"Historique",2089,
"Historique",2090,
"Historique",2091,
"Historique",2092,
"Historique",2093,
"Historique",2094,
"Historique",2095,
"Historique",2096,
"Historique",2097,
"Historique",2098,
"Historique",2099,
"Historique",2100,
"Ligne de base",1960,
"Ligne de base",1961,
"Ligne de base",1962,
"Ligne de base",1963,
"Ligne de base",1964,
"Ligne de base",1965,
"Ligne de base",1966,
"Ligne de base",1967,
"Ligne de base",1968,
"Ligne de base",1969,
"Ligne de base",1970,
"Ligne de base",1971,
"Ligne de base",1972,
"Ligne de base",1973,
"Ligne de base",1974,
"Ligne de base",1975,
"Ligne de base",1976,
"Ligne de base",1977,
"Ligne de base",1978,
"Ligne de base",1979,
"Ligne de base",1980,
"Ligne de base",1981,
"Ligne de base",1982,
"Ligne de base",1983,
"Ligne de base",1984,
"Ligne de base",1985,
"Ligne de base",1986,
