"projection","year","population"
"Historique",1960,22619
"Historique",1961,22752
"Historique",1965,26473
"Historique",1967,26862
"Historique",1970,28962
"Historique",1971,29373
"Historique",1972,29843
"Historique",1973,30370
"Historique",1974,30813
"Historique",1975,31036
"Historique",1976,31188
"Historique",1977,31079
"Historique",1978,31362
"Historique",1979,31540
"Historique",1980,31663
"Historique",1981,31359
"Historique",1982,30575
"Historique",1983,29490
"Historique",1984,28331
"Historique",1985,27799
"Historique",1986,27896
"Historique",1987,27934
"Historique",1988,27678
"Historique",1989,27884
"Historique",1990,50814
"Historique",1991,51678
"Historique",1992,52754
"Historique",1993,53833
"Historique",1994,55098
"Historique",1995,56478
"Historique",1996,57990
"Historique",1997,59260
"Historique",1998,60174
"Historique",1999,61060
"Historique",2000,61904
"Historique",2001,60938
"Historique",2002,61922
"Historique",2003,62889
"Historique",2004,63638
"Historique",2005,64955
"Historique",2006,66000
"Historique",2007,66829
"Historique",2008,67693
"Historique",2009,68892
"Historique",2010,70046
"Historique",2011,71084
"Historique",2012,73261
"Historique",2013,75057
"Historique",2014,77374
"Historique",2015,79840
"Historique",2016,81957
"Historique",2017,84131
"Historique",2018,86208
"Historique",2019,88328
"Historique",2020,90787
"Historique",2021,92737
"Historique",2022,95199
"Historique",2023,98220
"Historique",2024,101030
"Historique",2025,NA
"Historique",2026,NA
"Historique",2027,NA
"Historique",2028,NA
"Historique",2029,NA
"Historique",2030,NA
"Historique",2031,NA
"Historique",2032,NA
"Historique",2033,NA
"Historique",2034,NA
"Historique",2035,NA
"Historique",2036,NA
"Historique",2037,NA
"Historique",2038,NA
"Historique",2039,NA
"Historique",2040,NA
"Historique",2041,NA
"Historique",2042,NA
"Historique",2043,NA
"Historique",2044,NA
"Historique",2045,NA
"Historique",2046,NA
"Historique",2047,NA
"Historique",2048,NA
"Historique",2049,NA
"Historique",2050,NA
"Historique",2051,NA
"Historique",2052,NA
"Historique",2053,NA
"Historique",2054,NA
"Historique",2055,NA
"Historique",2056,NA
"Historique",2057,NA
"Historique",2058,NA
"Historique",2059,NA
"Historique",2060,NA
"Historique",2061,NA
"Historique",2062,NA
"Historique",2063,NA
"Historique",2064,NA
"Historique",2065,NA
"Historique",2066,NA
"Historique",2067,NA
"Historique",2068,NA
"Historique",2069,NA
"Historique",2070,NA
"Historique",2071,NA
"Historique",2072,NA
"Historique",2073,NA
"Historique",2074,NA
"Historique",2075,NA
"Historique",2076,NA
"Historique",2077,NA
"Historique",2078,NA
"Historique",2079,NA
"Historique",2080,NA
"Historique",2081,NA
"Historique",2082,NA
"Historique",2083,NA
"Historique",2084,NA
"Historique",2085,NA
"Historique",2086,NA
"Historique",2087,NA
"Historique",2088,NA
"Historique",2089,NA
"Historique",2090,NA
"Historique",2091,NA
"Historique",2092,NA
"Historique",2093,NA
"Historique",2094,NA
"Historique",2095,NA
"Historique",2096,NA
"Historique",2097,NA
"Historique",2098,NA
"Historique",2099,NA
"Historique",2100,NA
"Ligne de base",1960,NA
"Ligne de base",1961,NA
"Ligne de base",1965,NA
"Ligne de base",1967,NA
"Ligne de base",1970,NA
"Ligne de base",1971,NA
"Ligne de base",1972,NA
"Ligne de base",1973,NA
"Ligne de base",1974,NA
"Ligne de base",1975,NA
"Ligne de base",1976,NA
"Ligne de base",1977,NA
"Ligne de base",1978,NA
"Ligne de base",1979,NA
"Ligne de base",1980,NA
"Ligne de base",1981,NA
"Ligne de base",1982,NA
"Ligne de base",1983,NA
"Ligne de base",1984,NA
"Ligne de base",1985,NA
"Ligne de base",1986,NA
"Ligne de base",1987,NA
"Ligne de base",1988,NA
"Ligne de base",1989,NA
"Ligne de base",1990,NA
"Ligne de base",1991,NA
"Ligne de base",1992,NA
"Ligne de base",1993,NA
"Ligne de base",1994,NA
"Ligne de base",1995,NA
"Ligne de base",1996,NA
"Ligne de base",1997,NA
"Ligne de base",1998,NA
"Ligne de base",1999,NA
"Ligne de base",2000,NA
"Ligne de base",2001,NA
"Ligne de base",2002,NA
"Ligne de base",2003,NA
"Ligne de base",2004,NA
"Ligne de base",2005,NA
"Ligne de base",2006,NA
"Ligne de base",2007,NA
"Ligne de base",2008,NA
"Ligne de base",2009,NA
"Ligne de base",2010,NA
"Ligne de base",2011,NA
"Ligne de base",2012,NA
"Ligne de base",2013,NA
"Ligne de base",2014,NA
"Ligne de base",2015,NA
"Ligne de base",2016,NA
"Ligne de base",2017,NA
"Ligne de base",2018,NA
"Ligne de base",2019,NA
"Ligne de base",2020,NA
"Ligne de base",2021,NA
"Ligne de base",2022,NA
"Ligne de base",2023,NA
"Ligne de base",2024,NA
"Ligne de base",2025,104946
"Ligne de base",2026,108320
"Ligne de base",2027,111976
"Ligne de base",2028,115805
"Ligne de base",2029,119925
"Ligne de base",2030,124271
"Ligne de base",2031,128639
"Ligne de base",2032,132877
"Ligne de base",2033,137249
"Ligne de base",2034,141541
"Ligne de base",2035,145781
"Ligne de base",2036,149815
"Ligne de base",2037,154018
"Ligne de base",2038,157906
"Ligne de base",2039,161536
"Ligne de base",2040,165283
"Ligne de base",2041,169063
"Ligne de base",2042,172759
"Ligne de base",2043,176711
"Ligne de base",2044,180567
"Ligne de base",2045,184392
"Ligne de base",2046,188513
"Ligne de base",2047,192543
"Ligne de base",2048,196669
"Ligne de base",2049,200619
"Ligne de base",2050,204509
"Ligne de base",2051,208360
"Ligne de base",2052,212617
"Ligne de base",2053,216775
"Ligne de base",2054,221273
"Ligne de base",2055,225708
"Ligne de base",2056,230401
"Ligne de base",2057,234673
"Ligne de base",2058,239291
"Ligne de base",2059,243825
"Ligne de base",2060,248285
"Ligne de base",2061,252681
"Ligne de base",2062,257131
"Ligne de base",2063,261509
"Ligne de base",2064,265362
"Ligne de base",2065,269045
"Ligne de base",2066,272743
"Ligne de base",2067,275817
"Ligne de base",2068,278684
"Ligne de base",2069,281329
"Ligne de base",2070,283875
"Ligne de base",2071,286282
"Ligne de base",2072,288597
"Ligne de base",2073,290782
"Ligne de base",2074,292901
"Ligne de base",2075,294837
"Ligne de base",2076,296799
"Ligne de base",2077,298369
"Ligne de base",2078,299986
"Ligne de base",2079,301570
"Ligne de base",2080,303076
"Ligne de base",2081,304296
"Ligne de base",2082,305397
"Ligne de base",2083,306416
"Ligne de base",2084,307304
"Ligne de base",2085,308063
"Ligne de base",2086,308762
"Ligne de base",2087,309506
"Ligne de base",2088,310194
"Ligne de base",2089,311148
"Ligne de base",2090,312133
"Ligne de base",2091,313130
"Ligne de base",2092,314140
"Ligne de base",2093,315152
"Ligne de base",2094,316190
"Ligne de base",2095,317234
"Ligne de base",2096,318279
"Ligne de base",2097,319316
"Ligne de base",2098,320345
"Ligne de base",2099,321355
"Ligne de base",2100,322342
"Forte migration",1960,NA
"Forte migration",1961,NA
"Forte migration",1965,NA
"Forte migration",1967,NA
"Forte migration",1970,NA
"Forte migration",1971,NA
"Forte migration",1972,NA
"Forte migration",1973,NA
"Forte migration",1974,NA
"Forte migration",1975,NA
"Forte migration",1976,NA
"Forte migration",1977,NA
"Forte migration",1978,NA
"Forte migration",1979,NA
"Forte migration",1980,NA
"Forte migration",1981,NA
"Forte migration",1982,NA
"Forte migration",1983,NA
"Forte migration",1984,NA
"Forte migration",1985,NA
"Forte migration",1986,NA
"Forte migration",1987,NA
"Forte migration",1988,NA
"Forte migration",1989,NA
"Forte migration",1990,NA
"Forte migration",1991,NA
"Forte migration",1992,NA
"Forte migration",1993,NA
"Forte migration",1994,NA
"Forte migration",1995,NA
"Forte migration",1996,NA
"Forte migration",1997,NA
"Forte migration",1998,NA
"Forte migration",1999,NA
"Forte migration",2000,NA
"Forte migration",2001,NA
"Forte migration",2002,NA
"Forte migration",2003,NA
"Forte migration",2004,NA
"Forte migration",2005,NA
"Forte migration",2006,NA
"Forte migration",2007,NA
"Forte migration",2008,NA
"Forte migration",2009,NA
"Forte migration",2010,NA
"Forte migration",2011,NA
"Forte migration",2012,NA
"Forte migration",2013,NA
"Forte migration",2014,NA
"Forte migration",2015,NA
"Forte migration",2016,NA
"Forte migration",2017,NA
"Forte migration",2018,NA
"Forte migration",2019,NA
"Forte migration",2020,NA
