"Annee","Type","Categorie","Valeur"
2010,"Historique","Resident",0.570226615407574
2010,"Historique","Etranger",0.429773384592426
2011,"Historique","Resident",0.562359118148331
2011,"Historique","Etranger",0.437640881851669
2012,"Historique","Resident",0.555420437781588
2012,"Historique","Etranger",0.444579562218412
2013,"Historique","Resident",0.549767238496952
2013,"Historique","Etranger",0.450232761503048
2014,"Historique","Resident",0.544297128264252
2014,"Historique","Etranger",0.455702871735748
2015,"Historique","Resident",0.537764314351097
2015,"Historique","Etranger",0.462235685648903
2016,"Historique","Resident",0.531989275271874
2016,"Historique","Etranger",0.468010724728126
2017,"Historique","Resident",0.52679383399387
2017,"Historique","Etranger",0.47320616600613
2018,"Historique","Resident",0.520909713987315
2018,"Historique","Etranger",0.479090286012685
2019,"Historique","Resident",0.515388855350534
2019,"Historique","Etranger",0.484611144649466
2020,"Historique","Resident",0.50867719614617
2020,"Historique","Etranger",0.49132280385383
2021,"Historique","Resident",0.503822809593735
2021,"Historique","Etranger",0.496177190406265
2022,"Historique","Resident",0.498379568388828
2022,"Historique","Etranger",0.501620431611172
2023,"Historique","Resident",0.491407623434498
2023,"Historique","Etranger",0.508592376565502
2024,"Prévision","Resident",0.485612384460165
2024,"Prévision","Etranger",0.514387615539835
2025,"Prévision","Resident",0.479720666877553
2025,"Prévision","Etranger",0.520279333122449
2026,"Prévision","Resident",0.473828949294939
2026,"Prévision","Etranger",0.526171050705061
2027,"Prévision","Resident",0.467937231712327
2027,"Prévision","Etranger",0.532062768287673
2028,"Prévision","Resident",0.462045514129715
2028,"Prévision","Etranger",0.537954485870285
2029,"Prévision","Resident",0.456153796547103
2029,"Prévision","Etranger",0.543846203452899
2030,"Prévision","Resident",0.450262078964489
2030,"Prévision","Etranger",0.549737921035511
